class,image_path
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00015.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5785_1577671994.8073475.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5633_1577671994.6667252.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0085.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0091.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5502_1577671994.546049.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5631_1577671994.6647296.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00004_00018.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00001.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00043_00029.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00015_00017.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_6607_1577671995.5523577.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/3_5524_1577671994.5679927.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00015_00003.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00004_00024.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00037_00022.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00018_00014.jpg
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/005_1_0046.png
speedlimit60,/Users/bristi/Desktop/Projects/Split Federated Learning/Traffic Data/speedlimit60/00026_00005.jpg
